id_empresa,datetime,processo,uso de cpu,uso de gpu,mac_address
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,SearchHost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,WmiPrvSE.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,SecurityHealthService.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,unsecapp.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,Notion.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,Notion.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,Discord.exe,24.1,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,sihost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,AggregatorHost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,taskhostw.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,RuntimeBroker.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,SearchProtocolHost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,msedgewebview2.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,msedge.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,NisSrv.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,Code.exe,24.1,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,NgcIso.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,msedge.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,OneDrive.Sync.Service.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,Notepad.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,pet.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,python.exe,55.2,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,Code.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,msedge.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,msedge.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,vmcompute.exe,0.0,18.33,f4:6a:dd:7b:03:0d
1,2025-11-05 21:02:59,svchost.exe,0.0,18.33,f4:6a:dd:7b:03:0d
